Densidad de fl B	Hall voltage UH
B/mT	UH/mV

-303,171	-79,1
-299,100	-78,4
-290,428	-76,9
-287,773	-76,5
-270,960	-73,3
-270,783	-73,1
-264,235	-71,9
-251,669	-69,4
-251,492	-69,5
-248,660	-68,8
-246,536	-68,5
-237,864	-67,0
-229,900	-65,2
-228,838	-65,0
-220,520	-63,7
-215,034	-62,2
-214,857	-62,2
-197,335	-59,5
-191,672	-57,5
-185,654	-56,5
-169,903	-53,0
-167,425	-52,7
-152,028	-49,0
-133,268	-45,1
-122,649	-42,9
-115,215	-41,1
-103,942	-39,7
-87,385	-34,8
-70,041	-31,9
-59,988	-28,6
-54,466	-27,4
-40,750	-24,6
-38,768	-22,8
-33,618	-22,8
-18,273	-19,2
-10,256	-17,2
-8,506	-17,9
1,273	-14,5
1,314	-14,4
13,798	-11,6
22,096	-10,1
47,015	-3,9
66,501	0,4
69,899	1,3
69,988	1,3
81,916	4,0
101,791	7,6
108,136	9,9
115,746	10,9
129,905	14,7
145,126	17,5
153,975	19,8
155,037	19,8
177,336	24,7
177,867	24,7
199,636	28,8
199,813	29,2
213,264	31,4
218,927	33,2
232,378	35,5
239,457	36,8
249,722	38,9
252,023	39,4
276,446	44,0
300,693	48,5
