Densidad de fl B	Hall voltage UH
B/mT	UH/mV

-299,454	-78,2
-279,809	-74,7
-260,518	-70,9
-239,634	-67,1
-219,281	-62,9
-200,698	-59,1
-180,345	-54,9
-160,346	-50,7
-139,993	-46,3
-120,348	-42,0
-100,623	-37,6
-85,704	-34,3
-81,226	-33,2
-80,766	-33,0
-79,686	-33,0
-61,015	-28,6
-40,856	-74,0
-38,272	-73,2
-19,955	-63,8
1,347	-36,6
19,565	-27,8
39,812	-7,2
59,953	2,0
79,492	6,6
101,190	11,5
119,109	15,3
140,170	19,9
160,523	24,2
180,522	28,2
200,167	32,3
220,166	36,3
240,342	40,2
260,341	44,0
279,986	47,7
299,808	51,3
