Sample temperature Tp	Hall voltage UH
Tp/°C	UH/mV

29,5	47,6
31,4	51,9
33,0	52,0
34,8	52,1
37,6	52,0
39,5	52,0
41,5	52,0
43,7	51,9
45,9	51,6
49,0	51,4
51,3	51,1
53,5	50,7
55,7	50,1
58,9	49,2
60,9	48,3
63,1	47,3
65,2	46,1
67,4	44,8
70,2	42,4
72,3	40,5
74,3	38,3
76,1	36,1
77,9	33,5
80,9	29,4
82,7	26,5
84,3	23,4
86,0	20,3
87,9	17,1
90,6	12,5
92,1	9,4
93,7	6,5
95,4	3,7
97,4	-0,2
99,1	-2,6
100,7	-4,9
102,0	-6,8
103,1	-8,6
105,8	-10,9
107,1	-12,2
108,4	-13,4
109,9	-14,5
111,8	-15,8
113,2	-16,6
114,1	-17,4
115,1	-17,6
116,9	-18,0
118,1	-18,2
119,3	-18,4
120,5	-18,5
121,5	-18,6
123,0	-18,7
124,4	-18,7
125,5	-18,7
126,0	-18,7
128,2	-18,6
129,0	-18,5
129,9	-18,4
130,7	-18,3
131,6	-18,2
132,7	-18,0
133,7	-17,9
134,3	-17,7
135,6	-17,6
136,6	-17,4
137,3	-17,2
138,1	-17,0
138,8	-16,9
