Sample temperature Tp	Sample voltage Up
Tp/°C	Up/V

33,0	1,64
33,7	1,64
34,7	1,65
36,1	1,65
37,6	1,66
40,4	1,69
42,4	1,71
44,6	1,73
46,5	1,75
49,7	1,78
51,9	1,80
54,1	1,82
56,2	1,84
59,7	1,86
61,8	1,88
64,1	1,89
66,1	1,91
69,3	1,92
71,5	1,91
73,4	1,91
75,6	1,91
77,5	1,89
80,7	1,87
82,5	1,85
84,4	1,82
86,3	1,79
88,9	1,74
90,7	1,69
92,5	1,65
94,1	1,60
95,9	1,56
98,6	1,48
100,1	1,43
101,6	1,38
103,2	1,33
105,4	1,26
106,9	1,21
108,6	1,17
110,0	1,12
111,4	1,08
113,4	1,02
114,8	0,98
116,2	0,94
117,4	0,91
119,4	0,86
120,5	0,83
121,7	0,81
123,0	0,78
124,8	0,74
125,9	0,71
127,0	0,69
128,1	0,67
129,7	0,64
130,8	0,62
131,9	0,61
132,7	0,59
133,8	0,57
135,2	0,55
136,2	0,54
137,2	0,52
138,2	0,51
